Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-782.20416,58.51423,-699.5155,-826.343,1000.0,-673.2523,69.05824,-595.6144,-791.43176,1000.0,-112.76117706298828,168.73980712890625,5000,0.6684279441833496,-673.2523,0
-780.084,56.000412,-702.2701,-831.751,1000.0,-729.1867,30.226421,-687.2925,-767.4165,1000.0,-102.032958984375,86.41717529296875,10000,10.85400915145874,,1
-862.0086,18.45302,-838.58105,-883.67896,1000.0,-839.0994,71.16774,-758.3611,-949.89136,1000.0,-83.61371612548828,76.34800720214844,15000,11.476094245910645,,2
-952.38184,30.143755,-925.60535,-994.497,1000.0,-803.8881,72.32056,-722.5015,-913.28925,1000.0,-46.250980377197266,41.37614440917969,20000,12.10941219329834,,3
-884.6196,27.59441,-845.5958,-904.32275,1000.0,-942.9123,17.472557,-917.8935,-961.0209,1000.0,-33.4193229675293,33.05298614501953,25000,12.728457927703857,,4
-912.1865,16.690666,-888.66003,-925.6072,1000.0,-884.9033,94.61545,-714.71326,-1005.3586,1000.0,0.31456926465034485,35.39097213745117,30000,13.360682010650635,,5
-768.3789,28.29292,-745.3262,-808.2278,1000.0,-897.3786,52.278694,-818.45886,-966.15735,1000.0,13.185157775878906,30.352909088134766,35000,13.99493408203125,,6
-751.27344,99.647255,-674.47485,-891.9999,1000.0,-778.85583,40.433125,-726.192,-837.6492,1000.0,28.57215690612793,44.19053268432617,40000,14.62406611442566,,7
-744.3049,35.45341,-713.1631,-793.906,1000.0,-817.57947,67.91766,-727.62524,-908.4797,1000.0,16.985761642456055,43.39870071411133,45000,15.246084213256836,,8
-819.45044,155.93298,-671.2551,-1034.9739,1000.0,-776.0677,55.651077,-669.941,-827.7662,1000.0,12.244851112365723,29.46596908569336,50000,15.863475322723389,,9
-703.1331,33.587513,-671.22906,-749.56104,1000.0,-753.79236,37.328217,-704.415,-793.9556,1000.0,-21.008481979370117,91.89057159423828,55000,16.48301911354065,,10
-716.10394,26.78969,-680.37915,-744.89044,1000.0,-667.4535,30.912556,-640.9613,-721.77405,1000.0,4.799800872802734,23.034149169921875,60000,24.90444803237915,,11
-641.7405,33.348053,-600.23395,-681.8856,1000.0,-621.9725,45.078724,-553.35046,-670.26025,1000.0,-1.6495126485824585,25.03063201904297,65000,25.53652024269104,,12
-633.0687,7.948326,-621.82837,-638.75684,1000.0,-648.1238,81.19935,-495.95166,-716.5023,1000.0,-20.974782943725586,32.14772033691406,70000,26.17161798477173,,13
-585.8272,9.681295,-572.39734,-594.84863,1000.0,-630.0783,33.17097,-591.3904,-691.20404,1000.0,-13.554462432861328,22.06365394592285,75000,26.794156074523926,,14
-568.7825,36.785316,-517.9913,-603.9212,1000.0,-678.5174,40.975212,-607.8575,-724.186,1000.0,-10.117681503295898,30.65576934814453,80000,27.420226097106934,,15
-631.2044,94.35082,-509.18915,-738.98083,1000.0,-656.4479,47.603733,-591.14825,-711.58167,1000.0,0.28075122833251953,17.099143981933594,85000,28.06531810760498,,16
-562.7659,19.850117,-542.57104,-589.75024,1000.0,-607.8174,29.053207,-569.71594,-650.76953,1000.0,11.16699504852295,17.694753646850586,90000,28.6988742351532,,17
-548.2244,3.623012,-543.2567,-551.7949,1000.0,-566.8571,19.348875,-552.6177,-604.1433,1000.0,13.397238731384277,23.048782348632812,95000,29.363741159439087,,18
-531.17303,36.36873,-485.79904,-574.8345,1000.0,-591.37976,64.61633,-499.65216,-661.1803,1000.0,2.038992166519165,21.593555450439453,100000,29.994413137435913,,19
-514.09875,32.601105,-471.69946,-550.98193,1000.0,-542.32,39.77209,-500.42462,-607.3051,1000.0,3.849924325942993,18.500558853149414,105000,30.659017324447632,,20
-510.62378,45.97189,-450.5285,-562.1549,1000.0,-484.38144,23.291134,-452.9347,-524.734,1000.0,7.424872875213623,17.10028076171875,110000,38.9955620765686,,21
-488.96152,34.024357,-443.19708,-524.71606,1000.0,-481.43683,38.42392,-416.09836,-530.7715,1000.0,1.9538304805755615,16.260791778564453,115000,39.66561412811279,,22
-484.41943,16.139671,-464.50488,-504.03546,1000.0,-495.95502,34.24911,-435.80457,-532.87854,1000.0,-4.1763200759887695,15.106075286865234,120000,40.31047224998474,,23
-500.6476,30.905256,-475.0463,-544.12616,1000.0,-472.2351,60.414326,-371.71054,-556.24097,1000.0,-1.5675251483917236,15.123331069946289,125000,40.958436012268066,,24
-574.1575,84.17351,-509.81342,-693.0627,1000.0,-454.81586,25.584522,-420.33435,-497.3976,1000.0,1.75924551486969,25.49086570739746,130000,41.611475229263306,,25
-498.34653,16.403204,-476.58154,-516.1797,1000.0,-440.72446,33.69341,-405.20245,-492.21887,1000.0,3.8575682640075684,20.788854598999023,135000,42.248632192611694,,26
-461.28696,12.182833,-445.6681,-475.39484,1000.0,-502.7977,84.451614,-420.20386,-651.2461,1000.0,-8.83211898803711,28.105257034301758,140000,42.876702308654785,,27
-452.30026,26.255272,-425.23483,-487.84674,1000.0,-509.64703,92.54208,-377.54926,-651.7025,1000.0,-8.389575004577637,37.54314422607422,145000,43.53804326057434,,28
-437.03775,31.43521,-392.70007,-462.01453,1000.0,-508.0189,91.594765,-411.08606,-663.9916,1000.0,-2.776108741760254,31.881994247436523,150000,44.174814224243164,,29
-480.57614,72.658554,-415.84717,-582.053,1000.0,-457.54095,49.090225,-412.02972,-551.85486,1000.0,7.7029547691345215,23.537216186523438,155000,44.79760718345642,,30
-468.38657,35.028614,-421.86108,-506.3816,1000.0,-437.2251,27.57441,-386.32324,-467.9343,1000.0,9.78954029083252,18.1402587890625,160000,53.07895612716675,,31
-421.35287,70.4869,-348.49594,-516.7008,1000.0,-421.87158,32.99171,-369.48517,-468.2418,1000.0,4.253864288330078,17.299795150756836,165000,53.701168060302734,,32
-409.73804,9.059457,-398.6474,-420.83844,1000.0,-454.07233,32.135544,-413.74213,-489.8617,1000.0,-6.801525115966797,19.2793025970459,170000,54.32578706741333,,33
-365.68558,74.126884,-303.7905,-469.9062,1000.0,-391.44052,29.796165,-359.97662,-446.52325,1000.0,-0.08130289614200592,21.359655380249023,175000,54.96324014663696,,34
-328.0899,37.528282,-276.86996,-365.73926,1000.0,-326.18558,42.191284,-281.40918,-386.81024,1000.0,9.283110618591309,14.952165603637695,180000,55.599679946899414,,35
-317.7938,89.49402,-249.26285,-444.20807,1000.0,-367.83456,38.88006,-311.0569,-425.68817,1000.0,-0.8678738474845886,13.467968940734863,185000,56.22452116012573,,36
-341.39246,48.01658,-274.42822,-384.63318,1000.0,-384.32465,66.64503,-299.49268,-480.7887,1000.0,-7.491486072540283,26.584806442260742,190000,56.84378409385681,,37
-351.4559,14.214206,-331.41406,-362.82172,1000.0,-324.4353,36.203274,-272.31793,-375.7024,1000.0,2.555116653442383,17.525569915771484,195000,57.47769594192505,,38
-349.1757,29.485704,-313.46988,-385.68152,1000.0,-311.82782,36.62768,-260.1804,-356.74246,1000.0,3.267270803451538,15.50609016418457,200000,58.100977182388306,,39
-284.32718,26.450808,-250.25954,-314.74063,1000.0,-289.8443,45.032654,-234.32004,-366.06067,1000.0,4.2584075927734375,20.42442512512207,205000,58.72535800933838,,40
-236.4997,61.886143,-168.20174,-318.0447,1000.0,-223.62283,49.727646,-158.05698,-280.63705,1000.0,5.73234748840332,13.184356689453125,210000,67.13143396377563,,41
-205.18236,32.399395,-170.07715,-248.23593,1000.0,-255.48088,25.50305,-219.03113,-283.11807,1000.0,-4.007607936859131,14.201812744140625,215000,67.75323414802551,,42
-225.45325,40.98523,-169.41252,-266.29007,1000.0,-255.24973,54.001984,-152.7745,-307.11108,1000.0,-3.597918748855591,18.59172248840332,220000,68.38443899154663,,43
-237.53783,49.162403,-172.61499,-291.54413,1000.0,-244.99947,13.42203,-223.14761,-260.9997,1000.0,1.3030214309692383,21.21675682067871,225000,69.00353932380676,,44
-252.01762,45.910614,-187.63397,-291.4714,1000.0,-213.81625,43.005753,-173.00314,-286.77774,1000.0,2.3478636741638184,17.128143310546875,230000,69.64452505111694,,45
-288.56647,129.58081,-193.31946,-471.7731,1000.0,-280.24335,49.35177,-194.68704,-346.11786,1000.0,-4.952331066131592,31.216150283813477,235000,70.29179000854492,,46
-193.5833,7.8298125,-182.62498,-200.43929,1000.0,-194.17337,64.886284,-130.03696,-301.35907,1000.0,3.28503155708313,22.332931518554688,240000,70.91217517852783,,47
-228.73903,37.63953,-180.75272,-272.6843,1000.0,-263.01328,63.178394,-189.52213,-335.43552,1000.0,-5.519765377044678,22.379322052001953,245000,71.53470301628113,,48
-283.50278,36.747627,-248.6694,-334.31943,1000.0,-256.62598,24.43632,-229.10526,-295.7758,1000.0,-0.8108153343200684,15.447060585021973,250000,72.1833291053772,,49
-345.21323,94.98757,-225.9867,-458.42438,1000.0,-255.51059,32.447166,-210.09131,-307.3032,1000.0,1.3278175592422485,17.24384307861328,255000,72.80832099914551,,50
-213.64429,41.967297,-158.28017,-259.84637,1000.0,-207.68506,49.667145,-120.6767,-273.2143,1000.0,4.950133800506592,17.035552978515625,260000,81.78261923789978,,51
-146.8345,26.573217,-115.90372,-180.78418,1000.0,-196.33234,47.56251,-117.71275,-262.34067,1000.0,0.1553926020860672,12.220829963684082,265000,82.41565108299255,,52
-209.50941,32.60623,-163.98505,-238.62756,1000.0,-126.49142,32.82587,-77.77838,-171.81981,1000.0,5.222898483276367,13.331918716430664,270000,83.03896117210388,,53
-166.10164,22.577932,-141.86334,-196.22144,1000.0,-201.7815,58.72882,-151.19418,-295.30292,1000.0,-6.341268062591553,15.125425338745117,275000,83.65941023826599,,54
-141.31905,32.941093,-94.74677,-165.57532,1000.0,-177.93747,17.590685,-157.73,-208.30992,1000.0,-2.1968424320220947,15.9649658203125,280000,84.29134607315063,,55
-160.34372,76.68462,-54.744896,-234.53156,1000.0,-168.79941,64.371086,-73.45319,-267.4237,1000.0,2.3258345127105713,14.267049789428711,285000,84.91234612464905,,56
-47.85606,33.33716,-22.450375,-94.953125,1000.0,-144.14606,42.445873,-114.18141,-228.07857,1000.0,1.7434970140457153,13.181029319763184,290000,85.5414981842041,,57
-73.21338,34.130257,-40.929413,-120.4298,1000.0,-116.90348,88.25846,-32.640026,-241.36522,1000.0,4.492556095123291,17.67700958251953,295000,86.17053627967834,,58
-44.7391,54.111378,25.833063,-105.6521,1000.0,-106.55625,54.56066,-43.92974,-208.11699,1000.0,-1.361660361289978,16.22532081604004,300000,86.7957592010498,,59
-80.19561,16.706942,-56.89237,-95.22394,1000.0,-78.55455,22.76496,-46.828377,-103.84479,1000.0,-0.8357139825820923,14.256094932556152,305000,87.4182231426239,,60
-116.577614,50.574383,-54.543827,-178.42484,1000.0,-180.76996,74.34589,-90.870346,-275.99445,1000.0,-7.56711483001709,19.449291229248047,310000,96.54288625717163,,61
