Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-742.66254,41.175125,-692.60864,-793.4585,1000.0,-681.58887,35.375362,-621.26904,-723.37305,1000.0,-113.6537094116211,202.82162475585938,5000,0.6587069034576416,-681.58887,0
-788.64813,18.366909,-763.2009,-805.8822,1000.0,-728.3165,33.20488,-689.65,-787.1708,1000.0,-120.5489501953125,225.15237426757812,10000,1.5290660858154297,,1
-889.7087,139.13844,-758.33057,-1082.2603,1000.0,-787.5465,40.585163,-715.4243,-837.9433,1000.0,-125.01419067382812,247.16690063476562,15000,2.151588201522827,,2
-842.7178,32.565716,-802.9779,-882.7457,1000.0,-815.659,66.85332,-706.5774,-908.45325,1000.0,-127.82953643798828,263.2472839355469,20000,2.7624351978302,,3
-942.26044,8.065053,-935.8854,-953.63855,1000.0,-885.32275,47.869343,-795.97754,-932.6564,1000.0,-135.55484008789062,284.0462646484375,25000,3.3891100883483887,,4
-977.7941,15.978151,-956.2709,-994.5151,1000.0,-864.9794,69.340416,-809.3349,-992.42004,1000.0,-127.4052734375,273.4427490234375,30000,4.043014049530029,,5
-883.9353,47.680733,-830.4446,-946.23676,1000.0,-932.13586,28.960808,-880.43646,-961.23645,1000.0,-135.23191833496094,292.44000244140625,35000,4.745557069778442,,6
-887.2068,65.86972,-798.4503,-956.07886,1000.0,-889.2803,57.95085,-808.3933,-939.9054,1000.0,-117.77867126464844,237.33595275878906,40000,5.389125108718872,,7
-901.5964,23.026495,-871.4662,-927.36,1000.0,-870.3262,107.04932,-714.80725,-1043.2129,1000.0,-108.09259033203125,217.58657836914062,45000,6.022655963897705,,8
-887.10516,79.82587,-806.4637,-995.8435,1000.0,-935.36993,98.6429,-752.0471,-1045.7477,1000.0,-105.5489501953125,221.45970153808594,50000,6.637502908706665,,9
-807.37427,9.496633,-796.479,-819.62256,1000.0,-809.7852,104.89317,-648.47845,-914.3217,1000.0,-75.15785217285156,113.69232177734375,55000,7.264568090438843,,10
-727.2165,33.749504,-690.2284,-771.83435,1000.0,-902.6743,63.24798,-852.76196,-1026.0078,1000.0,-85.8754653930664,161.7160186767578,60000,7.87438702583313,,11
-802.07544,65.903175,-737.28516,-892.4922,1000.0,-796.9418,10.376301,-783.8339,-810.2479,1000.0,-63.524112701416016,90.53771209716797,65000,8.487855195999146,,12
-767.9278,7.3909974,-758.2035,-776.1094,1000.0,-810.2697,97.0086,-715.6497,-990.59247,1000.0,-52.234779357910156,84.24365234375,70000,9.11383605003357,,13
-710.81586,46.13999,-645.9788,-749.5959,1000.0,-823.1748,23.400175,-791.24817,-847.55444,1000.0,-48.26595687866211,62.74951171875,75000,9.727314949035645,,14
-693.4385,25.893665,-658.30145,-719.9382,1000.0,-714.1317,40.70396,-659.9197,-774.79504,1000.0,-27.520246505737305,48.3338737487793,80000,10.471357107162476,,15
-746.3409,81.72965,-663.0209,-857.3762,1000.0,-724.2546,20.83124,-694.29895,-744.74084,1000.0,-20.79828453063965,38.859100341796875,85000,11.182116031646729,,16
-724.6778,86.130424,-609.8302,-817.24695,1000.0,-673.5325,54.28395,-590.7421,-758.59686,1000.0,-8.084222793579102,28.31598663330078,90000,11.8476881980896,,17
-744.8645,124.78095,-643.82007,-920.67816,1000.0,-682.8743,60.052433,-609.8298,-765.8452,1000.0,-3.3643577098846436,25.71584701538086,95000,12.493355989456177,,18
-628.1348,40.898586,-570.3401,-658.9992,1000.0,-654.72974,36.159992,-619.1537,-713.3766,1000.0,3.1853015422821045,40.48745346069336,100000,13.123354196548462,,19
-671.4422,13.917416,-661.0833,-691.1151,1000.0,-651.617,53.130844,-586.99457,-716.28235,1000.0,9.149023056030273,29.450956344604492,105000,13.735392093658447,,20
-556.29913,1.8285964,-554.04315,-558.5219,1000.0,-576.1701,34.52986,-517.3053,-610.9917,1000.0,21.626384735107422,35.9739990234375,110000,14.376765966415405,,21
-616.0756,72.46903,-555.8412,-718.00165,1000.0,-576.40967,44.038174,-497.2563,-622.2073,1000.0,24.919614791870117,33.95159912109375,115000,15.101012945175171,,22
-569.72516,50.333176,-500.85248,-619.7358,1000.0,-624.88104,84.556435,-531.60425,-739.2573,1000.0,15.599802017211914,45.817970275878906,120000,15.718522071838379,,23
-555.84686,66.53225,-503.1297,-649.69977,1000.0,-601.0998,57.656586,-502.4759,-669.6871,1000.0,26.60194969177246,38.430179595947266,125000,16.341758966445923,,24
-543.6433,69.74682,-486.70355,-641.8651,1000.0,-603.32855,28.516758,-570.42346,-654.651,1000.0,28.417444229125977,35.771949768066406,130000,17.01500105857849,,25
-514.0835,21.625511,-484.38788,-535.26544,1000.0,-563.3296,40.67631,-494.6596,-614.0947,1000.0,33.46635437011719,48.16035461425781,135000,17.649864196777344,,26
-499.5691,12.832292,-481.8896,-511.95535,1000.0,-511.01807,64.55841,-426.3355,-574.8081,1000.0,40.59151077270508,56.9320182800293,140000,18.284470081329346,,27
-506.7228,45.812435,-456.17538,-567.0948,1000.0,-515.6204,46.867207,-437.41574,-582.24945,1000.0,39.002647399902344,53.84135055541992,145000,18.919394969940186,,28
-451.38004,11.575716,-436.0224,-463.96832,1000.0,-521.04407,37.798225,-481.39264,-577.1453,1000.0,31.99921226501465,46.88981246948242,150000,19.548721075057983,,29
-457.78854,10.633988,-443.57278,-469.14575,1000.0,-462.04718,8.810404,-451.28253,-473.09787,1000.0,41.41998291015625,53.05828857421875,155000,20.159088134765625,,30
-436.10483,61.24581,-369.76093,-517.4996,1000.0,-515.5984,55.701656,-426.99567,-589.3165,1000.0,35.48853302001953,46.38847351074219,160000,20.86175012588501,,31
-453.13046,17.08852,-431.19147,-472.877,1000.0,-452.64243,33.930195,-419.95355,-500.02292,1000.0,4.57785177230835,119.50260925292969,165000,21.551831007003784,,32
-467.3829,34.581093,-432.64618,-514.56396,1000.0,-437.9234,46.072857,-395.20074,-497.255,1000.0,39.172611236572266,50.11890411376953,170000,22.169700145721436,,33
-508.19724,43.153976,-460.3385,-564.92224,1000.0,-459.0958,39.62259,-394.6222,-517.15607,1000.0,31.783069610595703,41.1439323425293,175000,22.84079098701477,,34
-499.42673,27.37589,-472.461,-536.9678,1000.0,-456.12823,52.65081,-368.3529,-516.24994,1000.0,24.729473114013672,39.02583312988281,180000,23.49229907989502,,35
-460.58212,34.005253,-416.6363,-499.4698,1000.0,-519.47,57.97904,-463.18484,-621.52075,1000.0,10.961938858032227,43.309539794921875,185000,24.145900011062622,,36
-474.1875,43.432495,-412.88293,-508.13892,1000.0,-460.81216,32.86439,-421.42053,-502.16776,1000.0,18.808927536010742,32.49011993408203,190000,24.775331020355225,,37
-497.3488,30.500278,-462.14813,-536.53815,1000.0,-455.73926,65.69855,-364.54126,-554.191,1000.0,14.977287292480469,35.05303192138672,195000,25.42175006866455,,38
-461.85995,5.23629,-454.818,-467.36493,1000.0,-428.62704,26.266432,-389.7936,-460.5248,1000.0,16.023435592651367,28.49786949157715,200000,26.061630964279175,,39
-430.09766,76.56301,-358.18558,-536.156,1000.0,-476.62442,48.662224,-401.18515,-547.5537,1000.0,10.368895530700684,25.632610321044922,205000,26.68563723564148,,40
-439.0903,36.046417,-408.099,-489.63834,1000.0,-408.12686,54.44855,-346.92792,-509.57535,1000.0,15.680365562438965,28.553585052490234,210000,27.300772190093994,,41
-401.93555,59.13526,-337.60938,-480.3812,1000.0,-385.23532,63.71326,-285.86877,-481.1275,1000.0,17.461925506591797,25.173362731933594,215000,27.998480081558228,,42
-369.19348,16.587166,-354.76526,-392.4254,1000.0,-412.5931,32.630684,-351.07404,-440.5451,1000.0,10.945167541503906,17.315771102905273,220000,28.611788034439087,,43
-312.94263,36.11257,-262.63586,-345.71835,1000.0,-405.1579,51.56979,-344.0864,-475.30518,1000.0,6.650017261505127,23.609281539916992,225000,29.22567129135132,,44
-404.47778,70.41368,-316.6508,-489.0354,1000.0,-351.72647,35.9079,-312.1804,-396.0116,1000.0,14.957490921020508,25.05766487121582,230000,29.835957050323486,,45
-378.208,4.088138,-374.9488,-383.97314,1000.0,-353.60645,44.4859,-298.41452,-418.53143,1000.0,11.049121856689453,19.53501319885254,235000,30.456268072128296,,46
-363.49585,39.808502,-314.86996,-412.37946,1000.0,-367.3627,26.741198,-330.01605,-411.03528,1000.0,2.7386837005615234,29.896774291992188,240000,31.071830987930298,,47
-415.23227,65.61411,-359.39917,-507.3346,1000.0,-369.9771,47.140644,-312.3397,-423.7343,1000.0,4.455567359924316,20.21224594116211,245000,31.680423259735107,,48
-367.27225,24.572487,-347.665,-401.92297,1000.0,-366.47174,29.46323,-330.44574,-416.3272,1000.0,1.2474197149276733,17.446636199951172,250000,32.29442620277405,,49
-307.00916,31.023994,-283.05127,-350.81964,1000.0,-388.9516,46.020306,-314.40082,-441.7295,1000.0,-3.408057928085327,22.17565155029297,255000,32.89969515800476,,50
-381.5967,51.090748,-321.5303,-446.4066,1000.0,-342.01007,26.908619,-303.8416,-371.62735,1000.0,-1.621001958847046,24.479738235473633,260000,33.51757001876831,,51
-261.4529,51.121384,-192.76743,-315.3359,1000.0,-364.03674,59.24634,-297.88736,-456.65326,1000.0,-1.3590236902236938,14.082834243774414,265000,34.146756172180176,,52
-374.2668,46.352757,-337.089,-439.6128,1000.0,-384.4148,37.62571,-347.20746,-454.41864,1000.0,-7.888862609863281,23.446748733520508,270000,34.7676899433136,,53
-282.93213,24.170431,-261.55798,-316.72058,1000.0,-344.11505,43.67202,-275.31195,-408.11487,1000.0,-3.300137519836426,21.149288177490234,275000,35.42411422729492,,54
-317.5001,23.258547,-287.9183,-344.74603,1000.0,-361.3262,47.237953,-306.09985,-421.8992,1000.0,-4.929996967315674,21.000244140625,280000,36.041890144348145,,55
-339.54468,34.039753,-310.18546,-387.26343,1000.0,-318.60107,33.603867,-266.03528,-371.37418,1000.0,-0.22407852113246918,20.52685546875,285000,36.66144108772278,,56
-304.49564,55.432858,-254.25029,-381.73123,1000.0,-340.2298,83.46253,-273.6375,-503.36774,1000.0,-4.032806873321533,22.1800594329834,290000,37.27909016609192,,57
-232.81183,29.874218,-209.9048,-275.0087,1000.0,-301.08047,23.876764,-278.70056,-338.8839,1000.0,1.4714568853378296,12.400293350219727,295000,37.88659310340881,,58
-213.04683,30.83314,-169.44336,-235.12372,1000.0,-277.1953,45.058735,-224.52072,-352.01178,1000.0,2.8039681911468506,18.80602264404297,300000,38.49925708770752,,59
-310.27103,76.387405,-228.30157,-412.1927,1000.0,-264.7067,61.451805,-189.31696,-361.0388,1000.0,2.640482187271118,20.95212745666504,305000,39.112550258636475,,60
-234.01671,35.7221,-189.27435,-276.70276,1000.0,-260.25766,26.601444,-218.83029,-286.5172,1000.0,2.9238126277923584,21.258419036865234,310000,39.731420278549194,,61
-273.01965,33.87061,-232.83849,-315.69193,1000.0,-269.43042,60.011726,-185.25604,-371.34607,1000.0,1.8857351541519165,24.563024520874023,315000,40.347448110580444,,62
-183.85237,32.72889,-144.8351,-224.9251,1000.0,-273.26953,58.448383,-193.43427,-354.9753,1000.0,1.5315247774124146,21.904155731201172,320000,40.95618987083435,,63
-244.76788,17.797647,-226.7114,-268.98187,1000.0,-289.7896,46.722874,-217.42773,-360.33545,1000.0,-1.9853150844573975,25.367088317871094,325000,41.57142400741577,,64
-219.54762,22.583197,-200.28377,-251.24036,1000.0,-256.0477,80.48428,-184.32124,-369.1375,1000.0,2.710282564163208,23.477584838867188,330000,42.185790061950684,,65
-194.33168,49.216877,-150.06943,-262.9826,1000.0,-208.72766,51.424644,-156.73901,-304.30765,1000.0,7.457037448883057,17.99891471862793,335000,42.794419050216675,,66
-229.32654,94.731544,-98.62877,-320.16406,1000.0,-191.71281,35.141064,-153.757,-243.63809,1000.0,8.83370590209961,16.673402786254883,340000,43.40810203552246,,67
-124.745445,28.61162,-85.91226,-154.0071,1000.0,-209.1958,53.26672,-126.08611,-283.4583,1000.0,6.003063201904297,19.831031799316406,345000,44.01529121398926,,68
