Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
12.54321,8.4678755,66.0,4.0,12.54320987654321,8.9410715,5.2710557,36.0,3.0,8.941071428571428,16.76759147644043,5007,0.5211877822875977,8.9410715,0
19.207546,13.208571,66.0,4.0,19.20754716981132,13.139108,8.836162,59.0,3.0,13.139107611548557,26.396923065185547,10013,1.2117798328399658,,1
23.857143,13.486451,66.0,6.0,23.857142857142858,17.381945,11.355675,113.0,4.0,17.381944444444443,34.8574104309082,15019,1.5875329971313477,,2
29.86111,18.897608,94.0,9.0,29.86111111111111,23.059908,12.910222,63.0,4.0,23.05990783410138,42.79201126098633,20023,1.9644079208374023,,3
41.708332,19.432531,90.0,13.0,41.708333333333336,28.913296,14.946475,73.0,5.0,28.91329479768786,50.75377655029297,25025,2.320664882659912,,4
42.916668,16.413706,78.0,15.0,42.916666666666664,37.44776,16.805546,86.0,9.0,37.44776119402985,63.17348098754883,30043,2.687950849533081,,5
61.941177,18.747456,99.0,33.0,61.94117647058823,44.660713,18.775248,98.0,13.0,44.660714285714285,73.58573150634766,35045,3.06270694732666,,6
38.807693,16.375448,72.0,12.0,38.80769230769231,47.584908,18.563948,119.0,11.0,47.58490566037736,76.02137756347656,40089,3.428328037261963,,7
48.31818,23.193626,101.0,12.0,48.31818181818182,48.747574,19.754177,116.0,12.0,48.74757281553398,79.05778503417969,45110,3.8151607513427734,,8
52.94737,21.670921,107.0,16.0,52.94736842105263,54.434784,20.930685,127.0,14.0,54.43478260869565,86.50782775878906,50118,4.178879022598267,,9
42.24,18.396261,79.0,10.0,42.24,46.583332,18.179722,144.0,13.0,46.583333333333336,74.9023666381836,55149,4.7292070388793945,,10
45.727272,21.80113,110.0,15.0,45.72727272727273,44.769913,16.046398,93.0,7.0,44.769911504424776,70.47164154052734,60208,5.1238179206848145,,11
51.4,20.013494,100.0,19.0,51.4,47.773586,20.835964,159.0,9.0,47.77358490566038,79.37462615966797,65272,5.54273796081543,,12
42.791668,13.595278,75.0,14.0,42.791666666666664,47.320755,14.206395,110.0,17.0,47.320754716981135,71.04814147949219,70288,6.0149078369140625,,13
51.6,16.880165,100.0,34.0,51.6,45.48182,15.00529,118.0,17.0,45.481818181818184,69.56022644042969,75291,6.483991861343384,,14
44.086956,19.388283,104.0,26.0,44.08695652173913,48.737865,15.739358,109.0,23.0,48.737864077669904,75.05598449707031,80311,6.868170976638794,,15
41.75,12.011279,69.0,12.0,41.75,44.08772,13.77995,95.0,15.0,44.08771929824562,66.67131805419922,85337,7.2431769371032715,,16
38.96154,12.948064,67.0,15.0,38.96153846153846,42.897434,15.0913925,97.0,11.0,42.8974358974359,66.22100830078125,90356,7.621949911117554,,17
40.92,11.128055,70.0,16.0,40.92,43.991226,16.867645,126.0,15.0,43.99122807017544,68.98480987548828,95371,7.99351692199707,,18
40.0,19.565275,120.0,15.0,40.0,41.75,16.123611,113.0,12.0,41.75,66.28522491455078,100381,8.412802934646606,,19
43.458332,16.879423,77.0,10.0,43.458333333333336,41.262295,16.258064,98.0,7.0,41.26229508196721,65.7584228515625,105415,8.860032081604004,,20
40.16,17.827349,78.0,13.0,40.16,41.421486,14.002214,91.0,11.0,41.421487603305785,63.6352424621582,110427,9.292149066925049,,21
37.62963,11.50249,63.0,13.0,37.629629629629626,43.773914,16.453392,115.0,12.0,43.77391304347826,68.02342987060547,115461,9.689059972763062,,22
47.857143,18.2712,92.0,16.0,47.857142857142854,41.44628,16.175152,120.0,9.0,41.446280991735534,65.52349853515625,120476,10.068382978439331,,23
44.130436,13.355684,73.0,24.0,44.130434782608695,43.982456,17.443636,114.0,12.0,43.98245614035088,69.18863677978516,125490,10.435995817184448,,24
46.954544,20.6958,114.0,18.0,46.95454545454545,45.07143,16.995123,106.0,11.0,45.07142857142857,70.34549713134766,130538,10.804684162139893,,25
46.090908,17.804262,96.0,25.0,46.09090909090909,47.037384,16.809502,119.0,8.0,47.03738317757009,72.0147933959961,135571,11.168569803237915,,26
59.0,26.372892,127.0,34.0,59.0,49.480392,18.832458,119.0,9.0,49.48039215686274,77.75609588623047,140618,11.550711870193481,,27
64.3125,19.415583,117.0,37.0,64.3125,53.84946,20.821796,129.0,10.0,53.8494623655914,84.22864532470703,145626,11.919553995132446,,28
65.25,29.085005,156.0,34.0,65.25,68.69863,27.358946,147.0,29.0,68.6986301369863,108.26641082763672,150641,12.371034860610962,,29
74.0,28.732758,125.0,28.0,74.0,81.22581,34.429176,161.0,32.0,81.2258064516129,130.62554931640625,155677,12.746652841567993,,30
87.583336,39.379475,176.0,27.0,87.58333333333333,88.45614,34.972202,258.0,8.0,88.45614035087719,136.69483947753906,160719,13.117177963256836,,31
