Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
9.910892,6.493102,63.0,3.0,9.910891089108912,8.689236,4.8518634,35.0,3.0,8.68923611111111,-0.05376964434981346,20.71991539001465,5005,0.7011349201202393,8.689236,0
11.589596,6.729223,46.0,3.0,11.589595375722544,9.769531,5.346363,37.0,3.0,9.76953125,-0.06383359432220459,24.23410415649414,10007,1.559755802154541,,1
15.297709,10.629567,64.0,4.0,15.297709923664122,12.447762,7.453905,47.0,3.0,12.447761194029852,-0.05067599192261696,39.06954574584961,15011,2.160766124725342,,2
17.434782,9.885546,52.0,5.0,17.434782608695652,14.881657,9.446403,57.0,3.0,14.881656804733728,-0.0345260389149189,63.00514602661133,20041,2.782921075820923,,3
21.765957,12.416895,57.0,4.0,21.76595744680851,17.667845,11.015694,85.0,3.0,17.6678445229682,-0.053018298000097275,80.81645202636719,25041,3.4428110122680664,,4
28.197184,14.183525,77.0,8.0,28.197183098591548,19.183908,10.801087,75.0,5.0,19.183908045977013,-0.024594489485025406,78.04682159423828,30048,4.082941055297852,,5
28.9,15.156469,72.0,9.0,28.9,24.980099,14.60558,101.0,5.0,24.980099502487562,-0.032269466668367386,124.66871643066406,35069,4.713357925415039,,6
30.378788,12.019889,68.0,9.0,30.37878787878788,29.10465,16.705053,115.0,5.0,29.1046511627907,-0.024134989827871323,149.33883666992188,40075,5.320318937301636,,7
33.466667,16.872528,109.0,9.0,33.46666666666667,32.980263,16.266882,82.0,6.0,32.98026315789474,-0.039452165365219116,139.2187042236328,45088,6.133095026016235,,8
37.962265,16.817514,92.0,12.0,37.9622641509434,35.21831,15.619199,98.0,8.0,35.21830985915493,-0.03398435190320015,131.5830535888672,50089,6.787978887557983,,9
37.648148,19.743876,125.0,11.0,37.648148148148145,37.514927,15.36362,94.0,11.0,37.514925373134325,-0.016083166003227234,128.69137573242188,55116,7.393556833267212,,10
41.632652,18.503939,96.0,15.0,41.63265306122449,43.70435,20.275911,116.0,16.0,43.70434782608696,-0.006816947367042303,181.3739776611328,60142,8.001764059066772,,11
